,artist,song,lyric
259,Future,Just Like Bruddas,"All I see is stars, fly a bitch out from Maryland"
260,Future,You Wonder,(Turn up)
261,Future,Can’t Make This Up,More than you lil niggas recorded
262,Future,Be Yourself,"Your daddy a pimp, I know he proud of you"
263,Future,Club On Smash,Alligator Mozart they bite a nigga like
264,Future,Trending Topic,The truck a Maserati
265,Future,Straight Up,Every car I drive you know it gotta be Panamera
266,Future,Abu Turn Up (Intro),I’m talking about turn up man!
267,Future,Long Time Coming,I turned you to a fucking beast
268,Future,My Ho 2,"If that’s your ho (That’s my ho), that’s my ho too (That’s my ho)"
269,Future,When I Was Broke,She ain't leave when I was broke
270,Future,Eat Dat Up,"And I'm thinking about retiring, bitch, eat that up"
271,Future,Special,I set the tone of this i can't let no one intervene
272,Future,No Compadre,Mi no compadre (Mi no compadre)
273,Future,Drug Lord,"I send that bitch around, she comin' back around, 'round, 'round"
274,Future,Guap on Me,We get to grindin' and makin' these moves on these niggas
275,Future,HiTek Tek,"Courtside, I'm sittin' at the game with a Glock in my pocket"
276,Future,Perkys Calling,I can hear the Xannies callin'
277,Future,Back of the Ghost,I ran the game for a few summers
278,Future,Low Life,"Wifey, wifey, wifey, wifey, wifey"
279,Future,Monster,"I don't be trustin' these hoes, I just be smashin' these hoes (Skrrt, skrrt, skrrt, skrrt, skrrt, skrrt, skrrt, skrrt)"
280,Future,Mad Luv,The Actavis make the Sprite pinker (Pour up)
281,Future,My Ho 2,Give her a wedding ring and I’mma be around eternity
282,Future,Drippin (How U Luv That),"I could pay your rent right now, how you love that?"
283,Future,I Thank U,Makin' mills tryna OD
284,Future,Never Be The Same,And you caught me in so many lies
285,Future,Unicorn Purp,"After I made her tie my shoes, I made her my favorite (Tie my shoes)"
286,Future,Pray for a Key,"Grey Poupon, spillin' wine on your shirt"
287,Future,Temptation,"Copped me a presi', yeah, yeah"
288,Future,Trance,And I don't have to hug you
289,Future,Overdose,"Top shotta in the guts, uh-huh, double M, it's a must, uh-huh"
290,Future,Neva Missa Lost,You left your self esteem at the door this time
291,Future,Future Back,"And its coming back white, Marlyn Manson"
292,Future,Coupe,"Chuck out the deuce, I know you ready to get loose"
293,Future,Life Is Good,"Dropped three dollars on a ring, cost a Bentley truck, lil' bitch, woo"
294,Future,Coupe,"I’m getting some facial I turn the corner so fast, I almost crashed"
295,Future,Best 2 Shine,"Man, that bitch got some head so good, you gon' swear she ain't got no teeth"
296,Future,Substitute Everything,"I watch my dreams come true, I wish my granddad see me now (Rest in peace)"
297,Future,We Winnin,I got that water drippin off me from my neck to my ears
298,Future,Show Money,I got goons who put 
299,Future,Faded,Ain't no love lost and ain't no love gained
300,Future,Karate Chop (RichMix),"I'mma, take a, phone, call, hustle, every, day"
301,Future,How It Feel,How a nigga really feel
302,Future,Ridin Strikers,"Riding strikers through your hood, yeah"
303,Future,Purple Love (Inspiration),Nobody but us
304,Future,What It Do,"You let me have my way, I got this good girl goin' bad"
305,Future,Take This 4 Granted,(Movies)
306,Future,Yeah Yeah,"Bitch say I party hard, told her I make movies"
307,Future,Throw Away,'Cause I'm thinking about you
308,Future,Grammys,What happened?
309,Future,Jersey,We fill up two planes on account of these riches
310,Future,Karate Shop,I can whip a Maserati
311,Future,High Demand,"I float off Earth (Pluto), always float off Earth (Pluto)"
312,Future,Slow Down,"I only had drove it once, after I signed it"
313,Future,2Pac,Work
314,Future,Usual,"I'm a space cadet, ain't even human"
315,Future,Extra,Until I can't feel no more pain
316,Future,Nowhere,Can't fuck up my time
317,Future,Bigger Picture,"I hit the studio vibing, spitting the realest shit"
318,Future,Boss Up*,"That 'lil bitty watch, it wasn't 'nun (Whew, whew)"
319,Future,Ridin Strikers,"Yeah, riding strikers through your hood, yeah"
320,Future,No Compadre,"Mi no compadre (Mi no compadre, mi no compadre)"
321,Future,RACKS BLUE,"Hottest commodity, the way that it had to be"
322,Future,Brinks Truck,"Three hunnid a zip, tell 'em pour up (Three hunnid)"
323,Future,Servin Killa Kam,"Yeah, check gang though"
324,Future,Neva End,I could tell you was into me from our instant chemistry
325,Future,Spaz On Yall,Its very vivid
326,Future,Smacked Silly (Rack City Freestyle),"You feelin' the wealth, well I got paper in sight"
327,Future,Move That Dope (Radio Edit),Young nigga move that dope
328,Future,Maybach,Pain pills took a double dose
329,Future,Keep Quiet,"Keep quiet, keep quiet, keep quiet"
330,Future,Permanent Scar,And I’ve been on the rollercoast’
331,Future,Yeah Yeah,All-white bitch to match my all-white Louies
332,Future,Inside the Mattress,Gotta keep it real with some criminals
333,Future,Nowhere,"Put you as an opponent, make my ex girl mess with me"
334,Future,Showed Up,My lil' young nigga have you smelling like some sardines
335,Future,The Percocet & Stripper Joint,"Bona fide superstar, I'm straight up out the hood-uh"
336,Future,Splashin’,"I splash, I squirt, I splash, I squirt, I splash, I squirt (hold on)"
337,Future,Faded,I'm getting crazy money with them new orleans niggas
338,Future,Bust Down,"Thesе niggas wanna make the news, yеah"
339,Future,Nodding Off*,I can't name all the drugs that we done (Hey)
340,Future,Perkys Calling,"Roll up, hop out the car, and squeeze the trigger"
341,Future,The Matrix (Back to the Basics),We want that money so bad we'll take it
342,Future,First Off,"Linda Farrow's what's on my lens, I see fugazi"
343,Future,ЛЮБЛЮ СОСАТЬ ЧЛЕНЫ,But she always bring her smoke and her own bottle
344,Future,No Basic,"A million dollar, take a sneeze on a bitch nigga (Bitch)"
345,Future,You da Baddest,La-la-la-la-la-la
346,Future,Crushed Up,"Tell me what that lick read, one call"
347,Future,All The Time,In the clouds like a vert
348,Future,We On Top,"Fuck them old hoes, I got new hoes"
349,Future,RED LIGHT,Who would ever?
350,Future,Last Breath,"I watched you give up on me, but I never lost faith, did I?"
351,Future,High Demand,"I don't walk on land, bitch, I don't ever walk on land (Super Fu)"
352,Future,Opps*,Can't even count it
353,Future,Flip,Woman: You can hear me on the radio?
354,Future,Never Be The Same,"My granddad died a boss, and that's been on my memory"
355,Future,Tricks on Me,"Seen his son at my little boy birthday party, it was harder"
356,Future,Last Breath,"I got love all around me, yeah, yeah"
357,Future,Tomato Interior*,I smoke 
358,Future,Turn On the Lights,I’m lookin’ for ‘er
359,Future,News or Something,"Niggas getting crossed out nigga, no wonder"
360,Future,Motion Picture,"We gon make a motion picture, we gon make a motion picture"
361,Future,Colossal,"Hunnas on hunnas, do numbers on numbers"
362,Future,Fuk Is U Doin’,I got lawyers bunch of lawyers
363,Future,I’m Trippin’,"Smoked a whole pound of green, I'm trippin'"
364,Future,Wolf,"Take a crew to the other side, bad bitch, she bisexual"
365,Future,No Shame,I found new cocaine (I found)
366,Future,Incredible,Good thing I changed and you got that remedy
367,Future,Might as Well,Rawest diamonds on my team (Facts)
368,Future,Just Because,"6 Double 0 V12 go, ay"
369,Future,Diamonds from Africa,I swerve on your passenger
370,Future,On 2 Us,Esco and I smell it
371,Future,Same Damn Time,"Just a young hood nigga, streets raised me"
372,Future,Dirty Sprite,Red and Yellow I'm leaning hard
373,Future,Deeper Than the Ocean,They ain't wanna see me with the plug
374,Future,Fuk Is U Doin’,I got a AK beside me
375,Future,Statistics,Statistics say you could be a dope boy
376,Future,Take You Back,"I'll take you back, back, back"
377,Future,Extra Luv,"Ooh, ooh, ooh-ooh-ooh"
378,Future,31 DAYS,I was quieter than a mouse (Woo)
379,Future,CUDDLE MY WRIST,"Cuddle my bitch, cuddle my wrist, cuddle my wrist"
380,Future,On Purpose,Cop new foreign on purpose
381,Future,Sorry,"I'm a real nigga, it's hard to accept me"
382,Future,News or Something,"Gold Rolex, better check your peripheral"
383,Future,Purple Coming In,That purple be comin' in (Actavis)
384,Future,Jealous,"The ice on chill, shoe game nasty"
385,Future,Now,Fuck her in the mouth and didn't kiss her
386,Future,What’s Up With That,Oh yeah
387,Future,Oxy,Freebandz
388,Future,Maybach,Take a real champagne bath nigga
389,Future,Osama (O’s),You niggas ain't nothin' but broke niggas
390,Future,Absolutely Going Brazy,I was just goin' on a run
391,Future,Money Train,"And she do whatever when I say so, oh"
392,Future,You Deserve It,All this pain can't even rappin'
393,Future,Never Been This High,I had every pair of skippers from the green to orange
394,Future,In Abundance (Demo),Let 'em hear them loud pipes
395,Future,Sh!t,Button up suits at the Grammys
396,Future,Al Sharpton,"This spot too little, shit, wall to wall"
397,Future,Abu Turn Up (Intro),Hm? turn up?
398,Future,Mask Off,"Parliament (Parliament), calamari Wednesday (Ya)"
399,Future,Ball Forever,Ima ball forever
400,Future,Mark McGwire,Who you think you is? Who you think you is? (Yeah)
401,Future,Diamonds from Africa,"I got the blow, I'm the one for the traffickin'"
402,Future,Testify,"Turbo, sixty seconds in a Porsche on a one way"
403,Future,Running Through A Check,I got money on my mind
404,Future,Forever Eva,Ride for these niggas who loyal
405,Future,Touch the Sky,Yeah
406,Future,Special,They hate I made it
407,Future,APE Freestyle,Why you let them take my lil homie?
408,Future,Unicorn Purp,"We doin' three at a time, no lie, this life is a bungee (Yeah, yeah)"
409,Future,Hard,"The new Giuseppe's, I had to purchase by the bundle"
410,Future,Rehab (Amy Winehouse),"Yeah, R.I.P that Amy Winehouse"
411,Future,Intro,Shower on me
412,Future,Walk On Minks,You think you ridin' in foreigns right now
413,Future,Reward It*,"Your love came with a stylist, I bought you CC, girls"
414,Future,Money Train,Wheezy Beats
415,Future,Faceshot,"Yeah, playin' with the girl out in Fresno (Yeah)"
416,Future,Special,You wouldn't even though we had a plug
417,Future,Lie to Me,But I ain't got time to see
418,Future,Outer Space Bih,"Bad lil' hottie, woah woah, woah"
419,Future,Extra,Why my bitch so extra?
420,Future,You da Baddest,"Girl, you ain't gotta leave, we gon' fuck this hoe"
421,Future,Trapped in the Sun,That yellow Lambo' outside for when I trapped in the sun (For when I trapped in the sun)
422,Future,Rings On Me,"I put my trust in y'all, Metro and I got the juice now"
423,Future,That’s a Check,"Chandeliers in the background, on the ceiling"
424,Future,Nowhere,This beat here is the realest part
425,Future,Ain’t Coming Back,I done made it without sellin' my soul (Oh)
426,Future,Paparazzi (Dab),I'ma dab down the strip
427,Future,Good Kush And Alcohol (Love Me Demo),"I can’t see myself, if I was looking in the mirror"
428,Future,Groupies,Now I'm back fuckin' my groupies
429,Future,Brain On Drugz,My brain on drugs
430,Future,Can’t Make This Up,I was commin' over old head like slick rick
431,Future,Take You Back,"Back, back, back, b-b-back, back, back, back, back, back"
432,Future,Much More,Dont understand
433,Future,SOME MORE,"(don't tear me apart, don't tear me apart)"
434,Future,Nun ’bout U,Couple traps old school with the coupe with the shoes
435,Future,No Sleep Intro,Man we got to turn up on these niggas man
436,Future,Incredible,Romance and we've all done been here before
437,Future,Sorry,Better come with a combo
438,Future,Shopping Spree,You fuck the kid the best
439,Future,Gettin’ It In,My plug got that good dope
440,Future,Extra Luv,"I just really need some time, baby"
441,Future,My Collection,You wanna come to paradise?
442,Future,RED LIGHT,I finally start to embrace that I'm famous
443,Future,Solitaires,"Money over bitches, gotta play the field"
444,Future,One of My,One of my niggas got rich off bricks
445,Future,I’ll Be Yours,"You swearing I be yours (you drink, but you drink and i be)"
446,Future,Never Be The Same,Damn it feel like yesterday I'm at the corner store
447,Future,Im Good,"The clubs treat me good, the plugs treat me good"
448,Future,Trapped in the Sun,"I did new registration, I did some new Celine"
449,Future,Undefeated,I got that tool when I walk out that door
450,Future,Came From Nothing,And we gon get this cake forever
451,Future,St. Lucia,"I don't wanna make excuses, but she let me do it in the van (So what?)"
452,Future,Groupies,I jumped out the game like an OG
453,Future,Ain’t Tryin,"40 milli Glock, .40 on my waist"
454,Future,Never Gon Lose,I pour up again and again
455,Future,Move That Dope (Radio Edit),Keepin' it soft like a mink
456,Future,Lil Haiti Baby,"I bagged this bad bitch, it was nothing to get her"
457,Future,No Wallet,You put me on charts and I climb 'em
458,Future,Abu Turn Up (Intro),Cause every time a freeband gang come in here
459,Future,After That,After that
460,Future,Perkys Calling,I can hear them Percs callin'
461,Future,APE Freestyle,They treatin' me better than Nicki
462,Future,SOME MORE,"Thought she was true, she was fuckin' the opps"
463,Future,Look Ahead,"We go, go, go"
464,Future,Ain’t Mean To Hurt You,"I’m gonna get it, yes I will"
465,Future,All I Want Is Some Money,All I want is some money
466,Future,I’ll Be Yours,My word that I'll be yours
